170.000000,-215.000000,315.000000	170.000000,0.000000,315.000000	0.000000,0.000000,315.000000	0.000000,-215.000000,315.000000	170.000000,-215.000000,326.000000	170.000000,0.000000,326.000000	0.000000,0.000000,326.000000	0.000000,-215.000000,326.000000
209.000000,-95.000000,310.000000	209.000000,0.000000,310.000000	171.000000,0.000000,310.000000	171.000000,-95.000000,310.000000	209.000000,-95.000000,311.000000	209.000000,0.000000,311.000000	171.000000,0.000000,311.000000	171.000000,-95.000000,311.000000
276.942095,-75.879633,303.000000	315.281341,-42.551835,303.000000	294.877905,-19.080367,303.000000	256.538659,-52.408165,303.000000	276.942095,-75.879633,317.000000	315.281341,-42.551835,317.000000	294.877905,-19.080367,317.000000	256.538659,-52.408165,317.000000
364.000000,-228.500000,303.000000	364.000000,-131.500000,303.000000	250.000000,-131.500000,303.000000	250.000000,-228.500000,303.000000	364.000000,-228.500000,320.000000	364.000000,-131.500000,320.000000	250.000000,-131.500000,320.000000	250.000000,-228.500000,320.000000
21.585786,-321.669048,312.000000	69.669048,-273.585786,312.000000	24.414214,-228.330952,312.000000	-23.669048,-276.414214,312.000000	21.585786,-321.669048,345.000000	69.669048,-273.585786,345.000000	24.414214,-228.330952,345.000000	-23.669048,-276.414214,345.000000
49.431380,-313.633926,314.000000	106.575198,-381.735277,314.000000	131.088620,-361.166074,314.000000	73.944802,-293.064723,314.000000	49.431380,-313.633926,348.000000	106.575198,-381.735277,348.000000	131.088620,-361.166074,348.000000	73.944802,-293.064723,348.000000
114.741891,-466.597191,320.000000	182.370500,-410.291141,320.000000	151.658109,-373.402809,320.000000	84.029500,-429.708859,320.000000	114.741891,-466.597191,342.000000	182.370500,-410.291141,342.000000	151.658109,-373.402809,342.000000	84.029500,-429.708859,342.000000
-20.289710,-419.856390,320.000000	73.388205,-564.107728,320.000000	110.289710,-540.143610,320.000000	16.611795,-395.892272,320.000000	-20.289710,-419.856390,330.000000	73.388205,-564.107728,330.000000	110.289710,-540.143610,330.000000	16.611795,-395.892272,330.000000
91.029437,-641.941125,323.000000	141.941125,-591.029437,323.000000	124.970563,-574.058875,323.000000	74.058875,-624.970563,323.000000	91.029437,-641.941125,410.000000	141.941125,-591.029437,410.000000	124.970563,-574.058875,410.000000	74.058875,-624.970563,410.000000
130.535534,-311.213203,313.000000	148.213203,-293.535534,313.000000	123.464466,-268.786797,313.000000	105.786797,-286.464466,313.000000	130.535534,-311.213203,315.000000	148.213203,-293.535534,315.000000	123.464466,-268.786797,315.000000	105.786797,-286.464466,315.000000
147.032684,-572.454437,322.000000	182.672945,-554.294817,322.000000	164.967316,-519.545563,322.000000	129.327055,-537.705183,322.000000	147.032684,-572.454437,330.000000	182.672945,-554.294817,330.000000	164.967316,-519.545563,330.000000	129.327055,-537.705183,330.000000
